no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
8380,Farmer cheese,Cheese | Health & Wellness Products | Frozen Dairy Products,"Farmer cheese, curd","Retailers, distributors",ISO22000 | HALAL | FDA | EU Organic Certification,We don't have an importer,Tukuma Piens,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Investment and Development Agency Of Latvia,National Pavilion,E3-S06-1,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173748161782.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8380
8388,Butter,Butter | Frozen Dairy Products,Butter,"retailers, distributors",ISO22000 | HALAL | EU Organic Certification | BRC,We don't have an importer,Tukuma Piens,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Investment and Development Agency Of Latvia,National Pavilion,E3-S06-1,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173748239025.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8388
8393,SOPHIE RED WINE CABERNET FRANC 2020,Still wines - red,"Target Market for Sophie Cabernet Franc in Japan | | Wine Enthusiasts and Collectors: | Consumers seeking premium labels from emerging regions like Mexico. | Strategy: Highlight its exclusivity, limited production, and French oak aging. | | Luxury Restaurants and Hotels: | Gourmet establishments interested in wines that complement haute cuisine. | Strategy: Emphasize its complex profile and versatility for pairings. | | Luxury Gift Buyers: | Shoppers looking for unique and elegant gifts. | Strategy: Showcase its exotic origin, refined presentation, and premium quality. | | Niche Consumers: | Wine clubs interested in distinctive varietals like Cabernet Franc. | Strategy: Offer exclusive tastings and education about its terroir and artisanal production.","We currently distribute our wines in prestigious department stores such as Costco, Chedraui, and Vinoteca, as well as in high-end restaurants across Mexico and exclusive boutique wine shops specializing in red wines. This positioning reflects the care and excellence we put into every bottle, crafted to satisfy the most discerning palates. | | We are eager to expand our presence in the Japanese market, confident that our wines have much to offer. From their artisanal production and unique varietals to their exclusivity and premium quality, we believe they can become an ideal choice for wine enthusiasts in Japan who value premium products and unique experiences.",,We don't have an importer,VINICOLA SANTA ELENA,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,Still red and white wines,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8393.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8393
8401,SOPHIE RED NEBBIOLO,Still wines - red,• Luxury restaurants and hotels: Ideal for pairing with premium Japanese cuisine and international dishes. | • Wine enthusiasts and collectors: Seeking exclusivity and quality in unique labels. | • Boutique shops and luxury platforms: Perfect for discerning and knowledgeable consumers. | • Luxury gifts: Excellent for special occasions due to its elegance and prestige. |,"We currently distribute our wines in prestigious department stores such as Costco, Chedraui, and Vinoteca, as well as in high-end restaurants across Mexico and exclusive boutique wine shops specializing in red wines. This positioning reflects the care and excellence we put into every bottle, crafted to satisfy the most discerning palates. | We are eager to expand our presence in the Japanese market, confident that our wines have much to offer. From their artisanal production and unique varietals to their exclusivity and premium quality, we believe they can become an ideal choice for wine enthusiasts in Japan who value premium products and unique experiences.",,We don't have an importer,VINICOLA SANTA ELENA,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,Still red and white wines,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8401.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8401
8428,Búho Mexican Tonic,Carbonated Soft Drinks | Non-alcoholic Beverages,,,FDA | FSSC 22000 (in progress),We don't have an importer,Búho Soda,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,"Búho Mexican Craft Soda: Lime-Mint, Orange-Tangerine, Mango-Passion Fruit, Hibiscus-Pomegranate, Tamarind-Chile, Guava-Cardamom, Original Kola. | | Búho Mixers: Natural Indi, Mexican Tonic, Prickly Pear Tonic, Elderflower Tonic, Robusta Coffee Tonic, Bitter Lime.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8428.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8428
8430,MINOHMOMIJI WORLD CONNECT COLA,Energy Drinks | Flavoured Water | Organic Products,"Hotels, restaurants, supermarket wholesale","The gorgeous packaging design will brighten up any storefront. | | It uses plenty of spices from around the world and citrus fruits, fruits, and vegetables grown in Japan with love. | | All of the sugar is domestically produced, and the cola base is made with a blend of several types, as well as the Japanese and Chinese herbs Yamato Tachibana and Yamato Angelica, and contains no preservatives, colorings, or flavorings. | | It's a craft cola filled with love for each town.",,We don't have an importer,WORLD CONNECT COLA,,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Osaka mon / Osaka mon Meihin,Exports from Japan,S1-R04-00,WORLD CONNECT COLA | SUITA KUWAI WORLD CONNECT COLA | MINOH MOMIJI WORLD CONNECT COLA,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173749827780.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8430
8434,AMPHORA CHENIN BLANC 2023,Still wines - white,• Luxury restaurants and hotels: Ideal for pairing with premium Japanese cuisine and international dishes. | • Wine enthusiasts and collectors: Seeking exclusivity and quality in unique labels. | • Boutique shops and luxury platforms: Perfect for discerning and knowledgeable consumers. | • Luxury gifts: Excellent for special occasions due to its elegance and prestige. |,"We currently distribute our wines in prestigious department stores such as Costco, Chedraui, and Vinoteca, as well as in high-end restaurants across Mexico and exclusive boutique wine shops specializing in red wines. This positioning reflects the care and excellence we put into every bottle, crafted to satisfy the most discerning palates. | We are eager to expand our presence in the Japanese market, confident that our wines have much to offer. From their artisanal production and unique varietals to their exclusivity and premium quality, we believe they can become an ideal choice for wine enthusiasts in Japan who value premium products and unique experiences. |",,We don't have an importer,VINICOLA SANTA ELENA,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,Still red and white wines,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173750172310.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8434
8437,Crispy Fried Crab Stick for Hot Pot,Frozen Seafood | Frozen Ready Meals | Halal | Seafood | Processed seafood products | Plant-based / Alternative Foods,"Restaurants, hotels, in‑flight meals, the frozen food section, supermarkets, e‑commerce, gift sets, and specialty stores.","Crispy Fried Crab Stick for Hot Pot | | This crab stick fry is specially crafted to pair perfectly with hot pot. | A unique cutting and shaping method keeps each piece firm and intact, even after long simmering, so it never falls apart in the broth. | Rich crab flavor and a pleasantly springy texture make every bite satisfying and full of depth. | As it absorbs the soup, the umami becomes even more pronounced, turning it into a standout ingredient for hot pot and other simmered dishes. | Easy to use and consistently delicious, it’s a reliable choice favored by both home cooks and professionals.",US-HACCP | Other HACCP | FDA | MSC(Marine Stewardship Council) | ASC(Aquaculture Stewardship Council) | FSSC22000,,Wakame foods corporation,https://wakashoku.jp/,Japan exhibitors | Exportable,Exports from Japan,S2-A28,"MSC Scallop‑Style Fried Cutlet,MSC Crab‑Style Fried Cutlet,Izakaya‑Style Oden (Japanese hot pot stew),MSC Fish Nuggets,MSC Fish Balls,Seaweed‑Wrapped Tempura Fish Cake,MSC Imitation Crab for Hot Pot | , Fish Minced Cutlet,Fish Patty,Fish Burger Patty,Imitation Crab Stick",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176878447777.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8437
8457,Braised Saury,"Canned Products | Processed seafood products | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings)",1) Retail / Grocery | 2) Convenience Stores (CVS) | 3) Foodservice / HORECA | 4) Meal Solutions / Ready Meal Brands | 5) Export / International Distributors | 6)Emergency food / Disaster preparedness | 7)Elder-friendly / Senior-friendly foods,"1) Rich Umami Braised Flavor | 2) Ready-to-Eat / Ready-to-Heat Convenience | 3) High Protein, Nutrient-rich Seafood | 4) Shelf-stable & Long Storage | 5) Elder-friendly Texture | 6) Multiple Applications | 7) OEM/ODM Available",ISO22000 | US-HACCP | HALAL | FDA | CCC(China Compulsory Certification),,D.E. CHUNG HUA FOODS,https://www.de-food.com.tw/defood.asp,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A30-074,Braised Saury (Sweet Soy Glaze) | Iron Eggs (Seasoned Braised Eggs) | Seasoned Dried Bean Curd / Seasoned Tofu Products | Ready-to-Eat / Easy-Prepare Retort Pouches | Elder-friendly Meal Solutions (Care Food) | Emergency Stock Food / Disaster Preparedness,FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8457.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8457
8473,Sorvete de Açaí,Gluten-free | Smoothies | Fresh Fruit & Vegetables | Fortified & Functional Products | Supplements | Health & Wellness Products | Frozen Dairy Products | Frozen Fruit & Vegetables | Ice Cream / Sorbet Gelato | Vegetarian | Vegan | Halal | Kosher | Organic Products | Plant-based / Alternative Foods | Health drinks,"Food and beverage importers and distributors, wholesalers, supermarket chains, specialty and gourmet retailers, and food service companies (hotels, restaurants, and catering). | We are seeking business partners interested in high-quality, value-added products with strong potential for the Japanese and Asian markets. We welcome inquiries from companies focused on long-term partnerships, food safety, reliability, and consistent supply, as well as buyers looking for distinctive and innovative products.","Premium açaí sourced from Brazil, known for its authentic flavor, rich color, and high nutritional value. The product is naturally rich in antioxidants and is widely recognized as a functional and healthy ingredient. | Offers versatile applications for food service and retail, including açaí bowls, smoothies, desserts, and beverages. Available in formats suitable for bulk, food service, and private label development. | Ideal for buyers seeking reliable quality, stable supply, and products aligned with global trends in health, wellness, and clean-label foods, with strong appeal to health-conscious consumers in the Japanese market.","ISO22000 | EU-HACCP | US-HACCP | Other HACCP | HALAL | FDA | USDA Organic Certification | EU Organic Certification | Non-GMO Certification | Smeta, Vegano",,AÇAI AMAZONAS,https://vibeacai.com/ https://www.acaiamazonas.com.br/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ApexBrasil,National Pavilion,E4-C03-010,"Açaí Pulp, Açaí Powder 100% pure organic, Açaí Sorbet, Açaí Popsicle, Açaí Palm heart",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8473.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8473
8492,100g ZOUJI TUOCHA TEA,Non-alcoholic Beverages | Tea,"Tea, Puerh, China tea, compressed tea,Tuocha","premium puerh tea, supports digestions, promote overall health, AVPA world tea-gold award in dark tea",FDA | CCC(China Compulsory Certification),We don't have an importer,YUNNAN PU'ERH,https://zoujituocha.com,Overseas exhibitors | Exportable,Healthcare Foods,E5-R18,"Tea bags, including double-pouch and pyramid tea bags, Pu-erh tea, Compressed tea, Yunnan tea, puerh, pu er, functional tea, herbal tea, medicinal tea, Chinese tea, China",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173753551192.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8492
8495,Juicy Ponzu The Yuzu,Soy Sauce | Liquid Seasoning | Vinegar,Mainly housewives looking for safe and reliable seasonings,"This ponzu soy sauce is made with carefully selected safe and secure ingredients, using whole soybeans and wheat from Fukuoka Prefecture, as well as domestically produced yuzu juice. It features the rich aroma of yuzu and a refreshing taste. The fresh-seal bottle allows you to use it drop by drop while preserving its fragrance.",JAS Certified Factory,,MITSUWA SHOYU,https://www.mitsuwashoyu.com/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-024,"Nori Dressing, Red Bream soy sauce, Juicy Ponzu The Yuzu, Kids love Sweet Kyushu soy sauce, Whole soybeans soy sauce from Fukuoka Prefecture",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8495.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8495
8510,Molten Taro Lava Pastry,Baked Goods | Vegetarian | Vegan | Halal | Packaging | Sanitary | Professional Services | DX Solutuion,,,ISO22000 | Other HACCP | FDA | DUNS Number: 657578568,,O-NONGS FOODS,https://www.taro-cake.com.tw/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A30-114,"Taro Pastry | Molten Taro Lava Pastry | Tsung’s Little Taro Cake - Molten Taro Lava, | Tsung’s Sweet Potato Cake, | Taiwan Pineapple cake, | Taro Nougat, | Mazu Cake for Guarding the Nation,",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8510.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8510
